<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
DATA,D,20211007,00:00:00,73.36,73.98,72.92,83.36,
DATA,D,20211008,00:00:00,73.74,74.44,73.7,83.74,
DATA,D,20211011,00:00:00,74.26,75,74.18,84.26,
DATA,D,20211012,00:00:00,74.86,74.86,74.38,84.86,
DATA,D,20211013,00:00:00,74.44,74.5,73.02,84.44,
DATA,D,20211014,00:00:00,74.48,75,74.48,84.48,
DATA,D,20211015,00:00:00,74.72,74.9,74.34,84.72,
DATA,D,20211018,00:00:00,74.68,74.68,73.98,84.68,
DATA,D,20211019,00:00:00,74.42,74.9,74.24,84.42,
DATA,D,20211020,00:00:00,74.92,75.24,74.62,84.92,
DATA,D,20211021,00:00:00,75.06,75.06,73.78,85.06,
DATA,D,20211022,00:00:00,73.96,74.38,73.6,83.96,
DATA,D,20211025,00:00:00,73.38,74.54,73.2,83.38,
DATA,D,20211026,00:00:00,74.52,74.72,74.28,84.52,
DATA,D,20211027,00:00:00,74.3,74.3,73.48,84.3,
DATA,D,20211028,00:00:00,74.44,74.48,72.8,84.44,
DATA,D,20211029,00:00:00,73.3,73.48,72.18,83.3,
DATA,D,20211101,00:00:00,72.86,73.94,72.76,82.86,
DATA,D,20211102,00:00:00,74.32,74.36,73.6,84.32,
DATA,D,20211103,00:00:00,73.84,74.1,73,83.84,
DATA,D,20211105,00:00:00,73.62,73.62,72.96,83.62,
DATA,D,20211108,00:00:00,73.44,73.9,73.34,83.44,
DATA,D,20211109,00:00:00,73.82,74,73.42,83.82,
DATA,D,20211110,00:00:00,73.22,73.5,72.8,83.22,
DATA,D,20211111,00:00:00,72.42,73.46,72.08,82.42,
DATA,D,20211112,00:00:00,73.38,73.38,71.8,83.38,
DATA,D,20211115,00:00:00,72.02,72.82,72.02,82.02,
DATA,D,20211116,00:00:00,72.46,72.78,71.8,82.46,
DATA,D,20211117,00:00:00,72.02,72.66,71.96,82.02,
DATA,D,20211118,00:00:00,72.44,72.74,71.54,82.44,
DATA,D,20211119,00:00:00,71.94,72.26,70.22,81.94,
DATA,D,20211122,00:00:00,70.5,70.5,67.96,80.5,
DATA,D,20211123,00:00:00,69.08,69.56,65.94,79.08,
DATA,D,20211124,00:00:00,70.08,70.5,68.68,80.08,
DATA,D,20211125,00:00:00,69.52,69.96,68.56,79.52,
DATA,D,20211126,00:00:00,68.88,69.08,65.22,78.88,
DATA,D,20211129,00:00:00,66.76,68.92,66.4,76.76,
DATA,D,20211130,00:00:00,67.9,68.42,67,77.9,
DATA,D,20211201,00:00:00,67.72,69.3,67.72,77.72,
DATA,D,20211202,00:00:00,68.82,69.48,68.6,78.82,
DATA,D,20211203,00:00:00,69.56,69.6,68.5,79.56,
DATA,D,20211206,00:00:00,69.08,69.1,66.62,79.08,
DATA,D,20211207,00:00:00,67.54,67.96,66.88,77.54,
DATA,D,20211208,00:00:00,68.58,68.64,66.2,78.58,
DATA,D,20211209,00:00:00,66.82,67.44,66.4,76.82,
DATA,D,20211210,00:00:00,66.86,66.96,66,76.86,
DATA,D,20211213,00:00:00,66.62,66.64,63.6,76.62,
DATA,D,20211214,00:00:00,62.06,63.84,61.98,72.06,
DATA,D,20211215,00:00:00,64.24,64.34,63.36,74.24,
DATA,D,20211216,00:00:00,65.2,66,64.96,75.2,
DATA,D,20211217,00:00:00,65.6,65.9,64.9,75.6,
DATA,D,20211220,00:00:00,64.86,65,64.22,74.86,
DATA,D,20211221,00:00:00,65.42,65.7,64.8,75.42,
DATA,D,20211222,00:00:00,65.54,66.42,65.22,75.54,
DATA,D,20211223,00:00:00,66.28,66.3,65.3,76.28,
DATA,D,20211224,00:00:00,65.44,65.46,64.6,75.44,
DATA,D,20211227,00:00:00,65.04,67.16,64.72,75.04,
DATA,D,20211228,00:00:00,66.6,67.06,66.28,76.6,
DATA,D,20211229,00:00:00,66.5,66.72,66.02,76.5,
DATA,D,20211230,00:00:00,66.32,66.88,64.5,76.32,
DATA,D,20220103,00:00:00,67.28,68.1,66.9,77.28,
DATA,D,20220104,00:00:00,68.38,68.66,67.66,78.38,
DATA,D,20220105,00:00:00,68.22,68.22,65.3,78.22,
DATA,D,20220106,00:00:00,66.16,68.4,65.1,76.16,
DATA,D,20220110,00:00:00,67,67.06,65,77,
DATA,D,20220111,00:00:00,66.52,67.2,66.22,76.52,
DATA,D,20220112,00:00:00,67.1,67.84,66.7,77.1,
